令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,,,,,,,,,,,,
第３２－１－２７表　経営組織(5区分)別全事業所数及び従業者数－市区町村、町丁・大字,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織
,,,,,0_総数,0_総数,1_民営,1_民営,11_個人,11_個人,12_法人,12_法人,121_会社,121_会社,122_会社以外の法人,122_会社以外の法人,13_法人でない団体,13_法人でない団体,2_国、地方公共団体,2_国、地方公共団体
,,,,,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計
,,,,,(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人)
市区町村・町丁大字コード,市区町村コード,都道府県名,市区町村名,町丁・大字名, ,,,,,,,,,,,,,,,
27103002900003600_大阪府大阪市福島区福島８丁目,27103,大阪府,大阪市福島区,福島８丁目,147,935,147,935,47,121,100,814,95,744,5,70,-,-,-,-
27103002300002300_大阪府大阪市福島区野田１丁目,27103,大阪府,大阪市福島区,野田１丁目,400,"5,652",393,"5,367",28,87,361,"5,275",326,"5,091",35,184,4,5,7,285
27103002300002400_大阪府大阪市福島区野田２丁目,27103,大阪府,大阪市福島区,野田２丁目,86,"1,579",85,"1,553",21,65,64,"1,488",56,"1,445",8,43,-,-,1,26
27103002300002500_大阪府大阪市福島区野田３丁目,27103,大阪府,大阪市福島区,野田３丁目,88,522,88,522,39,105,49,417,42,307,7,110,-,-,-,-
27103002300002600_大阪府大阪市福島区野田４丁目,27103,大阪府,大阪市福島区,野田４丁目,40,485,40,485,1,8,39,477,39,477,-,-,-,-,-,-
27103002300002700_大阪府大阪市福島区野田５丁目,27103,大阪府,大阪市福島区,野田５丁目,60,524,59,481,21,33,37,446,34,349,3,97,1,2,1,43
27103002300002800_大阪府大阪市福島区野田６丁目,27103,大阪府,大阪市福島区,野田６丁目,40,953,38,855,2,24,36,831,32,787,4,44,-,-,2,98
27103999999999999_大阪府大阪市福島区その他,27103,大阪府,大阪市福島区,その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27104_大阪府大阪市此花区,27104,大阪府,大阪市此花区,,"2,667","48,742","2,641","47,534",820,"2,170","1,810","45,319","1,605","42,177",205,"3,142",11,45,26,"1,208"
27104001700001700_大阪府大阪市此花区四貫島１丁目,27104,大阪府,大阪市此花区,四貫島１丁目,91,641,90,639,43,190,47,449,38,364,9,85,-,-,1,2
27104001700001800_大阪府大阪市此花区四貫島２丁目,27104,大阪府,大阪市此花区,四貫島２丁目,98,533,97,501,48,110,49,391,41,342,8,49,-,-,1,32
27104002500002500_大阪府大阪市此花区高見１丁目,27104,大阪府,大阪市此花区,高見１丁目,47,576,45,492,9,19,35,472,32,439,3,33,1,1,2,84
27104002500002600_大阪府大阪市此花区高見２丁目,27104,大阪府,大阪市此花区,高見２丁目,45,211,44,176,31,63,13,113,9,82,4,31,-,-,1,35
27104002500002700_大阪府大阪市此花区高見３丁目,27104,大阪府,大阪市此花区,高見３丁目,28,123,27,90,12,30,15,60,14,57,1,3,-,-,1,33
27104001400001400_大阪府大阪市此花区桜島１丁目,27104,大阪府,大阪市此花区,桜島１丁目,15,761,15,761,-,-,15,761,15,761,-,-,-,-,-,-
