店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
きよちゃん家,吹田（ＪＲ）駅 378m,パン、カフェ,,3.01,2,87,-,～￥999,大阪府吹田市昭和町18-4,34.764225,135.527573
天ぷら ささき,千里丘駅 457m,天ぷら,,3.34,45,1790,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市長野東18-4,34.792263,135.54657
和洋折衷 ここ,江坂駅 346m,居酒屋,,3.04,18,475,-,～￥999,大阪府吹田市江坂町1-14-23 １Ｆ,34.761379,135.498413
街かど屋 江坂店,江坂駅 131m,食堂,,3.05,54,391,～￥999,-,大阪府吹田市江坂町1-22-23 江坂中央ビル1F,34.75795,135.498184
セブンイレブン 阪急山田駅前店,山田駅 36m,コンビニ・スーパー,,3.02,1,2,-,-,大阪府吹田市山田西4-2-86,34.803993,135.515839
レストランかもしま,江坂駅 523m,食堂,,3.08,16,436,-,～￥999,大阪府吹田市垂水町3-22-20 ２Ｆ,34.760319,135.502182
ピザハット 南千里店,吹田市,ピザ,,3,2,7,-,-,大阪府吹田市山田南30-35,34.790054,135.537781
らーめん これこれ,江坂駅 263m,ラーメン,,3.7,1340,25774,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-20-30 キャロル江坂 1F,34.758343,135.499939
凛,千里山駅 56m,そば、居酒屋,,3.1,12,304,-,-,大阪府吹田市千里山西5-2-5 加藤ビル 2F,34.778744,135.504761
スターバックスコーヒー 江坂オッツ店,江坂駅 120m,カフェ,,3.09,73,356,～￥999,-,大阪府吹田市豊津町14-8,34.758049,135.495895
シーユーアゲインやきやきルーム,豊津駅 36m,お好み焼き,,3,1,12,-,-,大阪府吹田市山手町2-7-7,34.76445,135.509399
たこたまや 江坂店,江坂駅 131m,たこ焼き,,3.05,3,103,-,-,大阪府吹田市豊津町10-11,34.758854,135.495956
参と壱,吹田（ＪＲ）駅 559m,居酒屋、海鮮、寿司,,3.08,8,224,"￥4,000～￥4,999",-,大阪府吹田市片山町1-25-7,34.767937,135.526047
旬菜 神その,南千里駅 760m,日本料理、海鮮,,3.07,13,572,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市高野台1-6-11 高野台近隣センター内,34.79491,135.516632
ふつうの居酒屋,吹田（ＪＲ）駅 394m,居酒屋、食堂、弁当,,3.05,5,128,"￥3,000～￥3,999",～￥999,大阪府吹田市高浜町8-6 パラジュール高浜 1F,34.76075,135.526627
