店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
餃子酒飯 大阪王 吹田店,吹田（ＪＲ）駅 72m,餃子、中華料理,,3.08,55,764,"￥1,000～￥1,999",～￥999,大阪府吹田市朝日町1-111 吹田さんくす1番館 1F,34.763145,135.524002
居酒屋　真,吹田（ＪＲ）駅 143m,居酒屋、水炊き、もつ鍋,,3.04,9,396,"￥2,000～￥2,999",-,大阪府吹田市朝日町5-8 ヤマトビル1階,34.762581,135.524963
ココ,吹田市,喫茶店,,,2,,-,-,大阪府吹田市原町4-11-8,34.775223,135.529785
かつ工房和幸 ららぽーとEXPOCITY店,万博記念公園駅 442m,とんかつ、日本料理,,3.34,64,507,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
nord ノルド,山田駅 361m,バー,,3.04,4,373,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市津雲台6-22-3 トレックビル 1F,34.805676,135.512344
カフェ アンド ベイク ベベ,吹田（ＪＲ）駅 593m,カフェ,,3.2,39,1567,-,"￥1,000～￥1,999",大阪府吹田市内本町1-21-7,34.757858,135.523483
吉都,吹田市,カフェ、喫茶店,,,1,,-,-,大阪府吹田市吹東町37-30,34.767097,135.537109
穂波町 和豊,吹田（阪急）駅 511m,居酒屋,,3.05,7,381,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市穂波町3-21,34.757141,135.512817
新富,吹田市,和菓子,,3.03,8,58,-,-,大阪府吹田市山田南20-23 オークヴィラ村上マンション? 1F,34.787243,135.53595
尾道焼 みっか,千里丘駅 595m,お好み焼き,,3.06,7,278,"￥3,000～￥3,999",～￥999,大阪府吹田市長野東14-6,34.791721,135.544815
居酒屋 勇,吹田（ＪＲ）駅 117m,居酒屋,,,2,,-,-,大阪府吹田市朝日町2-B1-1-3,34.763054,135.525436
うどん食堂太鼓亭 吹田岸部店,吹田市,うどん,,3.11,13,110,-,-,大阪府吹田市岸部北1-3-35,34.779133,135.528076
ファミリーマート 吹田山田南店,吹田市,コンビニ・スーパー,,,4,,-,-,大阪府吹田市山田南30-4,34.791706,135.53714
ピザーラ 吹田店,吹田市,ピザ,,,1,1,-,-,大阪府吹田市五月が丘南18-5 五月が丘1番館 2F,34.783779,135.521591
ジャンカラ 江坂店,江坂駅 220m,カラオケ、その他,,3.04,6,20,-,-,大阪府吹田市豊津町15-9 ピーイングス江坂ビル,34.75769,135.494827
モスバーガー 千里丘ミリカ・ヒルズ店,宇野辺駅 978m,ハンバーガー,,3.01,11,86,-,-,大阪府吹田市千里丘北1-17,34.801453,135.547913
パティスリー ミル プランタン,吹田市,ケーキ,,3.01,1,39,-,-,大阪府吹田市山田南30-10 光マンション 106,34.79129,135.537567
花凛屋,豊津駅 50m,寿司,,,1,,-,-,大阪府吹田市垂水町2-1-24 豊津ファミリーハースB1F,34.763794,135.509094
大,豊津駅 27m,焼肉、串焼き,,3.09,16,418,"￥2,000～￥2,999",-,大阪府吹田市垂水町1-1-8 足立ビル 1F,34.764069,135.509079
ビック マウンテン エクスプレス,関大前駅 360m,弁当,,3.03,4,110,-,～￥999,大阪府吹田市千里山東1-9-21 中通ハイツ 1F,34.773312,135.508881
人類みな飯類 大阪学院大学店,岸辺駅 322m,学生食堂、食堂,,3.06,14,1275,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市岸部南2-36-1 大阪学院大学 12号館N棟 1F,34.773399,135.541901
いちまずし,吹田（ＪＲ）駅 439m,寿司,,,2,,-,-,大阪府吹田市高浜町9-17,34.761307,135.527908
アッシェガノ,吹田（ＪＲ）駅 190m,パン,,3.22,29,1387,-,-,大阪府吹田市朝日町5-22 1F,34.761982,135.525116
星乃珈琲店 カリーノ江坂店,江坂駅 43m,喫茶店,,3.08,71,454,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町9-40 カリーノ江坂 1F,34.758633,135.496109
Beer&Cafe Hafen,江坂駅 285m,ダイニングバー、ビアバー,,3.04,15,981,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-20-32 江坂ガーデンハイツ 1F,34.758244,135.500122
BAR 18 江坂,江坂駅 344m,バー,,,4,,-,-,大阪府吹田市垂水町3-35-25 レジャービルT&T 4F,34.758102,135.500641
ラーメン 池田屋 吹田店,吹田（阪急）駅 236m,ラーメン,,3.55,366,8537,～￥999,～￥999,大阪府吹田市寿町1-3-3,34.758293,135.519485
まつむら,相川駅 525m,居酒屋,,,4,,-,-,大阪府吹田市高城町18-34,34.761623,135.530487
松屋 吹田店,吹田（ＪＲ）駅 287m,牛丼、カレー、食堂,,3.03,13,44,-,～￥999,大阪府吹田市昭和町10-19,34.762691,135.526657
REDEEカフェ,万博記念公園駅 388m,カフェ,,3.02,1,5,-,-,大阪府吹田市千里万博公園2-1,34.805485,135.53392
菓匠 千鳥屋 吹田店,吹田（ＪＲ）駅 169m,和菓子,,3.04,5,18,-,-,大阪府吹田市元町5-7,34.761864,135.524277
一品料理 山川,吹田（ＪＲ）駅 319m,日本料理,,,1,31,-,-,大阪府吹田市朝日町16-7,34.761452,135.526352
千,千里山駅 150m,居酒屋,,3,1,26,-,-,大阪府吹田市千里山西4-9-22,34.778828,135.503738
ブルーコーナー,吹田市,ケーキ,,3,5,148,-,-,大阪府吹田市山田西1-36-3,34.790051,135.526688
ライフ 吹田泉町店,吹田（阪急）駅 387m,コンビニ・スーパー,,3,5,14,-,-,大阪府吹田市泉町1-22-38,34.757103,135.514297
ウインド ベル,吹田（ＪＲ）駅 451m,カフェ,,3.04,4,44,-,～￥999,大阪府吹田市高浜町1-14,34.759563,135.526001
粉武士 岸辺店,岸辺駅 107m,たこ焼き、明石焼き、からあげ,,3.18,28,444,"￥2,000～￥2,999",-,大阪府吹田市岸部南1-25-7 33番館 102,34.776138,135.541626
ひょうたん寿し 江坂東急店,江坂駅 183m,寿司、海鮮,,3.25,87,1439,"￥6,000～￥7,999",-,大阪府吹田市江坂町1-22-12,34.757824,135.49884
餃子の王将 関大前店,関大前駅 293m,中華料理、餃子,,3.05,35,249,～￥999,～￥999,大阪府吹田市千里山東1-16-1,34.773483,135.50679
ファントエス ららぽーとEXPOCITY店,万博記念公園駅 478m,カフェ,,3.01,2,6,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
Cafe&Bar 本坊 桃山台BASE,桃山台駅 406m,バー,,3.02,1,45,"￥2,000～￥2,999",～￥999,大阪府吹田市桃山台2-5-9,34.792896,135.501755
タリーズコーヒー with U 吹田グリーンプレイス店,吹田（ＪＲ）駅 458m,カフェ,,3.06,34,246,-,～￥999,大阪府吹田市片山町2-3-11 吹田グリーンプレイス,34.764099,135.519745
ドトールコーヒーショップ イズミヤ千里丘店,吹田市,コーヒースタンド,,3.03,12,34,-,～￥999,大阪府吹田市山田南1-1,34.788815,135.538727
LIFE 岸部店,岸辺駅 906m,コンビニ・スーパー,,,2,9,-,-,大阪府吹田市原町4-21-58,34.77663,135.531982
セパタ,江坂駅 492m,タイ料理,,3.43,142,5375,"￥1,000～￥1,999",～￥999,大阪府吹田市江坂町2-6-14 池上第2ビル 103,34.762074,135.493454
ブレーシュ,南吹田駅 407m,ケーキ,,3.09,13,555,-,-,大阪府吹田市穂波町25-1 ART-FIND 102,34.753101,135.510574
彩雲,江坂駅 537m,日本料理,,3.12,16,292,"￥4,000～￥4,999",-,大阪府吹田市垂水町3-17-10 アルバ・トルナトーレ 1F,34.761467,135.501663
ジャンカラ JR吹田店,吹田（ＪＲ）駅 249m,カラオケ、その他,,,1,2,-,-,大阪府吹田市元町6-8 万両ビル1～4F,34.761189,135.524765
麺Lab 美味身,吹田（ＪＲ）駅 621m,ラーメン,,3.52,122,3121,-,～￥999,大阪府吹田市内本町2-7-1,34.757969,135.526047
そば処　万両,吹田（ＪＲ）駅 249m,そば、釜飯、うなぎ,,3.3,64,1131,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市元町6-8,34.761189,135.524765
長崎ちゃんぽん十鉄 吹田店,江坂駅 668m,ちゃんぽん、ラーメン、居酒屋,,3.41,213,2325,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町3-1-18,34.764679,135.497269
セブン-イレブン 吹田片山1丁目店,吹田（ＪＲ）駅 247m,コンビニ・スーパー,,3.07,1,2,-,-,大阪府吹田市片山町1-4-13,34.765274,135.523682
ドンクエディテ 吹田グリーンプレイス店,吹田（ＪＲ）駅 426m,カフェ、パン,,3.07,54,2239,-,"￥1,000～￥1,999",大阪府吹田市片山町2-3-7 吹田グリーンプレイス,34.765167,135.519424
鏡屋,下新庄駅 698m,食堂,,3.01,1,11,-,～￥999,大阪府吹田市中の島町4-38,34.753124,135.521683
やきとりうえ田,豊津駅 231m,焼き鳥,,3.04,6,235,-,-,大阪府吹田市垂水町1-8-3,34.764046,135.506821
柏屋 大阪千里山,関大前駅 454m,日本料理,,4.07,209,20724,"￥15,000～￥19,999","￥10,000～￥14,999",大阪府吹田市千里山西2-5-18,34.770191,135.501144
手打ち蕎麦処 あき津,南千里駅 610m,そば,,3.34,61,3587,-,"￥1,000～￥1,999",大阪府吹田市高野台2-6-7-1,34.796932,135.511642
北岡園 吹田店,吹田（ＪＲ）駅 187m,その他,,3.02,2,10,-,-,大阪府吹田市朝日町2-117 吹田さんくす2番館,34.763054,135.525436
福warai,吹田（ＪＲ）駅 180m,日本酒バー、寿司、居酒屋,,3.23,29,678,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市朝日町5-26 1F,34.76181,135.524765
豆の蔵元 千里山店,千里山駅 971m,その他,,3.05,13,199,-,-,大阪府吹田市千里山東4-6-6,34.779556,135.515976
吹田ドンドン,阪大病院前駅 867m,丼、麺類,,3.06,7,40,-,～￥999,大阪府吹田市山田丘2-2-1 センテラス内,34.81937,135.527527
TRAUBERT'S,豊津駅 155m,バー,,3.03,2,50,-,-,大阪府吹田市山手町2-1-5,34.764893,135.510742
レストラン&カフェ ビアンモール,岸辺駅 376m,食堂,,3.06,6,20,-,-,大阪府吹田市岸部新町5-7 吹田市民病院 2F,34.77626,135.537354
阪大 うなぎや,阪大病院前駅 193m,うなぎ,,3.27,62,693,-,"￥1,000～￥1,999",大阪府吹田市山田丘2-15 大阪大学医学部付属病院内1F,34.81937,135.527527
ドンク・ミニワン ららぽーとEXPOCITY店,万博記念公園駅 564m,パン、サンドイッチ,,3.06,37,180,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
イルミナ,江坂駅 268m,洋食,,3.06,10,88,-,～￥999,大阪府吹田市豊津町1-40 クライトンホテル１Ｆ,34.76096,135.496262
タリーズコーヒー Dew阪急山田店,山田駅 55m,カフェ,,3.02,13,42,-,-,大阪府吹田市山田西4-1-2 デュー阪急山田 2F,34.804226,135.515244
じゅう兵衛,吹田（ＪＲ）駅 613m,お好み焼き、鉄板焼き,,3.06,7,200,-,～￥999,大阪府吹田市朝日が丘町1-18,34.76815,135.520142
座り立ち飲み たっちゃん,吹田（ＪＲ）駅 95m,居酒屋,,3.08,6,53,"￥2,000～￥2,999",～￥999,大阪府吹田市朝日町2-101,34.763054,135.525436
炭火焼鶏 勝っ福,岸辺駅 812m,居酒屋,,3.03,3,148,-,-,大阪府吹田市岸部北3-6-31,34.782578,135.535858
ぢどり亭 吹田駅前店,吹田（ＪＲ）駅 29m,居酒屋,,3.01,4,162,-,-,大阪府吹田市朝日町1-1 JR吹田駅,34.763145,135.524002
焼鳥と焼野菜ぎんすけ 江坂店,江坂駅 256m,居酒屋,,3.12,8,156,-,-,大阪府吹田市江の木町3-11 3F,34.757053,135.494568
パイン ヴィレッジ,吹田（ＪＲ）駅 448m,バー、カフェ,,3.02,1,47,-,-,大阪府吹田市高浜町10-10 ジャルダン　１Ｆ,34.761215,135.527893
ピザハット 江坂店,南吹田駅 745m,ピザ,,3,4,14,-,-,大阪府吹田市南金田1-11-22 ル・ノーブル,34.754974,135.506393
旨い肴と酒 ふるさと,江坂駅 111m,居酒屋,,3.44,114,9216,"￥5,000～￥5,999","￥3,000～￥3,999",大阪府吹田市江坂町1-22-10,34.757999,135.49884
颯,江坂駅 657m,洋菓子,,,10,,-,-,大阪府吹田市垂水町1-55-2 メゾンワタナベ,34.764233,135.499008
セブンイレブン 吹田青葉丘南店,宇野辺駅 161m,コンビニ・スーパー,,3.07,1,1,-,-,大阪府吹田市青葉丘南2-5,34.806816,135.554688
サイゼリヤ 吹田末広店,相川駅 777m,ファミレス、イタリアン、パスタ,,3.04,23,99,"￥1,000～￥1,999",～￥999,大阪府吹田市末広町20-18,34.764576,135.532379
兵六そば,江坂駅 114m,そば、うどん,,3.43,133,3316,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-22-10,34.757999,135.49884
旬の幸しん,北千里駅 72m,居酒屋,,3.06,12,112,-,-,大阪府吹田市古江台4-2-9 ウィング北千里ビル　1F,34.820385,135.509125
PARK CAFE BRANCO,江坂駅 298m,カフェ、パンケーキ,ふわふわパンケーキとこだわりコーヒーを堪能する自然豊かなカフェタイム◆モーニングやランチも,3.49,211,8447,-,"￥1,000～￥1,999",大阪府吹田市江坂町1-19-5,34.7593,135.500549
小太郎や,江坂駅 573m,寿司,,3.03,3,103,-,-,大阪府吹田市南金田2-21-10,34.754959,135.501785
玄米赤飯゜井上家,豊津駅 213m,パン,,3,13,302,-,-,大阪府吹田市垂水町1-8-26,34.764179,135.507095
てる屋,吹田（阪急）駅 63m,弁当,,,1,,-,-,大阪府吹田市泉町1-3-40 吹田市役所 B1F,34.759232,135.516708
宝来,岸辺駅 578m,中華料理,,3.39,66,3744,～￥999,～￥999,大阪府吹田市岸部南3-21-10,34.772079,135.539978
松のや 関大前店,関大前駅 166m,とんかつ,,3.02,7,38,-,～￥999,大阪府吹田市千里山東1-7-13 カンゾービル 1F,34.772507,135.505905
万博食堂,万博記念公園駅 475m,洋食、創作料理,,3.24,120,1186,"￥1,000～￥1,999","￥2,000～￥2,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
豊。,江坂駅 367m,居酒屋,,3.26,45,4649,"￥3,000～￥3,999",-,大阪府吹田市豊津町18-1,34.758675,135.493118
あんことおはぎのお店 くりこ,千里山駅 430m,和菓子,,3.14,17,1470,-,-,大阪府吹田市千里山東3-11-6 みのりハイツ 1F,34.77721,135.50972
eden,山田駅 27m,洋菓子,,3.14,33,885,～￥999,～￥999,大阪府吹田市山田西4-1-1-105 DEW山田１Ｆ,34.804226,135.515244
サンモリッツ,関大前駅 345m,喫茶店,,3.05,5,184,-,～￥999,大阪府吹田市千里山東1-14-1,34.773563,135.508102
オオニシサントコ,関大前駅 806m,カフェ,,3.07,11,1092,-,"￥1,000～￥1,999",大阪府吹田市上山手町1-5,34.773666,135.51416
アルモニア江坂,江坂駅 655m,その他,,3.02,6,95,-,-,大阪府吹田市垂水町1-55-2 メゾンワタナベ 1F,34.764233,135.499008
楽笑 山田店,吹田市,居酒屋、串焼き、焼き鳥,,3.02,6,88,-,-,大阪府吹田市山田西2-1-16,34.790356,135.52478
田村商店,吹田市,その他,,,4,19,-,-,大阪府吹田市佐井寺3-19-7,34.784863,135.515076
パティスリー ナツロウ,公園東口駅 1000m,ケーキ,,3.09,15,199,-,-,大阪府吹田市清水8-12 ルミエールしみず 1F,34.802002,135.542694
ロワゾブルー,南千里駅 924m,ケーキ、洋菓子,,3,7,183,-,-,大阪府吹田市佐井寺3-21-32-T001,34.786255,135.51532
そば太鼓亭 吹田山田店,吹田市,うどん、そば,,3.08,59,338,"￥1,000～￥1,999",～￥999,大阪府吹田市山田南14-4,34.78627,135.53363
粉もん屋とん平 江坂公園店,江坂駅 469m,お好み焼き、もんじゃ焼き、鉄板焼き,,3.07,53,1034,"￥2,000～￥2,999",～￥999,大阪府吹田市垂水町3‐24‐14 グリーンコーポ江坂第2　127,34.7598,135.501068
台湾,岸辺駅 843m,台湾料理,,3.04,5,246,"￥2,000～￥2,999",-,大阪府吹田市岸部北3-4-27,34.782379,135.535309
美食菜工房 蓮,江坂駅 777m,担々麺、ラーメン、中華料理,,3.09,28,198,-,-,大阪府吹田市南金田2-15-6,34.756802,135.50531
ポッポ韓国フーズ,南吹田駅 145m,韓国料理、弁当、うどん,,3.04,2,56,-,～￥999,大阪府吹田市南吹田1-14-22,34.750114,135.512589
中華食堂 くまさんち,江坂駅 508m,中華料理,,3.07,7,267,-,"￥1,000～￥1,999",大阪府吹田市豊津町18-21-3,34.758289,135.491516
犬カフェ COCOMO,千里山駅 418m,その他,,3.05,6,251,-,"￥1,000～￥1,999",大阪府吹田市千里山東1-18-8 Uni House DOI 1F,34.774998,135.506104
業務スーパー TAKENOKO 津雲台店,千里中央駅 878m,その他,,,3,6,-,-,大阪府吹田市津雲台7-8-1,34.806534,135.504471
関西スーパー 江坂店,江坂駅 222m,コンビニ・スーパー,,,1,11,-,-,大阪府吹田市豊津町11-5,34.759457,135.495178
麺や 山下,吹田（阪急）駅 56m,そば、丼、弁当,,3,3,16,-,-,大阪府吹田市泉町1-3-40 吹田市役所 B1F,34.759232,135.516708
ぬまやー,江坂駅 440m,沖縄料理,,3.08,13,447,"￥3,000～￥3,999",-,大阪府吹田市江の木町17-20 パルムハウス江坂　１Ｆ,34.754684,135.496033
ペーパームーン,豊津駅 232m,バー,,,42,,-,-,大阪府吹田市垂水町1-8-3 2F,34.764046,135.506821
太陽のとん,吹田市,焼肉、タイ料理、居酒屋,,3.04,3,132,"￥2,000～￥2,999",-,大阪府吹田市樫切山3-5 エマブル樫切山 1F,34.794559,135.536102
薪窯 PIZZA・CAFE NORTH GARDEN 万博公園店,万博記念公園駅 618m,ピザ、カフェ、パスタ,,3.43,139,3662,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10-3,34.814037,135.52417
カフェテリア＆ベーカリー匠,阪大病院前駅 547m,カフェ、パン、洋食,,3,8,82,-,～￥999,大阪府吹田市山田丘2-5,34.81937,135.527527
クックハウス 江坂オッツ店,江坂駅 133m,パン、ヨーロッパ料理、カフェ,,3.05,37,477,～￥999,～￥999,大阪府吹田市豊津町14-8 東急プラザオッツ 1F,34.758049,135.495895
WAVY BOWL 江坂店,江坂駅 212m,スイーツ,,3.02,1,30,-,-,大阪府吹田市江の木町2-35 石田ビル 3F,34.757389,135.495239
けやき亭 郵便局前店,江坂駅 238m,弁当,,3,4,12,-,-,大阪府吹田市江坂町1-13-16,34.760597,135.49823
珈琲館樹里,吹田（阪急）駅 477m,喫茶店,,,5,,-,-,大阪府吹田市南清和園町15-44,34.755436,135.516983
ハース&ハース,吹田市,その他,,,3,32,-,-,大阪府吹田市長野西17-1 コムゼストビル 1F,34.792606,135.541016
葉山珈琲 千里山駅前店,千里山駅 36m,カフェ,,3.04,31,443,-,"￥1,000～￥1,999",大阪府吹田市千里山西1-40-13 千里山駅前ビル1F,34.778553,135.505112
あほや 吹田店,吹田（ＪＲ）駅 434m,たこ焼き,,3.01,6,71,-,-,大阪府吹田市片山町3-33-13,34.767101,135.524414
パンと雑貨のお店 はぴすま,吹田（ＪＲ）駅 275m,パン、洋菓子,,,12,,～￥999,～￥999,大阪府吹田市昭和町10-20,34.762749,135.526596
聚楽,南千里駅 162m,中華料理,,3.15,33,282,"￥1,000～￥1,999",-,大阪府吹田市津雲台1-1-30,34.79488,135.510178
麺や 二鷹,江坂駅 490m,ラーメン、つけ麺,,3.6,348,7031,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-4-20,34.762791,135.498611
コトブキ,南吹田駅 526m,食堂、洋食,,,2,21,-,-,大阪府吹田市南金田1-14-4,34.753204,135.507614
ももやきジェット 関大前店,関大前駅 271m,居酒屋,,3.04,4,34,-,-,大阪府吹田市千里山東1-7-31,34.773434,135.506927
ニューカンパニー,正雀駅 255m,居酒屋,,,5,,-,-,大阪府吹田市岸部南1-24-22,34.774303,135.543167
パークカフェ,万博記念公園駅 484m,洋食、食堂,,3.08,44,270,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10 自然文化園,34.814037,135.52417
la balance,吹田市,フレンチ,,3.06,9,395,-,-,大阪府吹田市樫切山2-5,34.793713,135.536118
ふじ咲,吹田（阪急）駅 233m,居酒屋、パスタ,,,8,,-,-,大阪府吹田市泉町1-14-19,34.757835,135.516251
衆楽,吹田市,うどん,,3.33,61,674,～￥999,"￥1,000～￥1,999",大阪府吹田市山田南1-1イズミヤ別館,34.788815,135.538727
スターダスト,江坂駅 56m,ダイニングバー、フレンチ、ビストロ,,3.01,1,102,"￥4,000～￥4,999",-,大阪府吹田市豊津町9-16 第1ロンヂェビル 3F,34.758373,135.496765
まざあぐうす,南吹田駅 457m,喫茶店,,3.02,4,31,-,-,大阪府吹田市穂波町21-23,34.753613,135.511551
えいちゃん,吹田（ＪＲ）駅 320m,居酒屋,,3.02,1,10,-,-,大阪府吹田市朝日町16-9,34.761333,135.526352
Shisha Cafe&Bar AJITO,岸辺駅 198m,その他,,,1,4,-,-,大阪府吹田市岸部南1-25-18 第2岸部ビル 1F,34.775398,135.542358
セブンイレブン 吹田山田東１丁目店,吹田市,コンビニ・スーパー,,,1,,-,-,大阪府吹田市山田東1-38-1,34.798798,135.5345
ナナズ グリーンティー ららぽーとEXPOCITY店,万博記念公園駅 506m,カフェ、甘味処,,3.08,75,382,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
マネケン ららぽーとEXPOCITY店,万博記念公園駅 418m,洋菓子、スイーツ,,3,15,54,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 1F,34.805485,135.53392
立ち呑み処 蔵,吹田（ＪＲ）駅 149m,立ち飲み,,3.13,17,337,"￥1,000～￥1,999",-,大阪府吹田市朝日町2,34.763054,135.525436
BARBARA CREPERIE,万博記念公園駅 444m,クレープ・ガレット,,,34,,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
キッチンカフェミント,江坂駅 700m,喫茶店、弁当,,3.05,7,135,-,-,大阪府吹田市南金田2-28-10,34.753597,135.501801
コッペル,吹田（ＪＲ）駅 371m,喫茶店,,3.06,10,122,-,～￥999,大阪府吹田市朝日町19-20,34.760334,135.525436
喫茶・軽食 ハロッズ,吹田（ＪＲ）駅 384m,喫茶店,,3,2,44,-,-,大阪府吹田市片山町3-32-14 片山商店街,34.766724,135.523819
ティーハウス,吹田（ＪＲ）駅 167m,バー,,,15,,-,-,大阪府吹田市元町5-23 レジャービルエイワ 1F,34.761959,135.523819
LE COCON 江坂店,江坂駅 79m,カフェ,,3,3,64,-,-,大阪府吹田市豊津町9-40,34.758633,135.496109
サンスーシ,吹田（ＪＲ）駅 388m,フレンチ,,3.2,22,569,"￥2,000～￥2,999",-,大阪府吹田市高浜町9-2 中央ビル 1F,34.761078,135.526932
パン工房　アンジュリーク,豊津駅 288m,パン,,3.08,13,294,-,-,大阪府吹田市出口町30-16,34.765266,135.512177
ル・パルク,千里山駅 215m,カフェ、喫茶店,,,5,,-,-,大阪府吹田市千里山東2-21-27,34.776913,135.506256
ロンガデセオ2018,吹田（阪急）駅 341m,イタリアン、カフェ、バル,,3.09,14,361,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市寿町1-4-26 悠友館 二番館 2F,34.757477,135.519882
串松,関大前駅 307m,居酒屋,食べ飲み放題や飲み放題付きの宴会プランが充実。みんなでワイワイ、楽しいひととき,3.01,3,129,"￥2,000～￥2,999",-,大阪府吹田市千里山東1-7-37,34.772755,135.506958
焙煎珈琲豆 楓,北千里駅 81m,コーヒースタンド,,3.08,10,96,-,～￥999,大阪府吹田市古江台4-2-25 ディオス5番館 1F,34.820385,135.509125
珉珉 五月が丘店,吹田市,中華料理,,3.01,5,104,-,-,大阪府吹田市五月が丘南9-5,34.784813,135.521347
KOHYO 津雲台店,山田駅 806m,コンビニ・スーパー,,3.01,1,5,～￥999,～￥999,大阪府吹田市津雲台4-1-21,34.800484,135.50827
仙臺たんや利久 ららぽーとEXPOCITY店,万博記念公園駅 473m,牛タン,,3.05,68,448,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
JACKS BURGER SHOP SUITA,吹田（ＪＲ）駅 631m,ハンバーガー,,3.23,22,1152,"￥1,000～￥1,999",-,大阪府吹田市内本町2-7-28,34.757961,135.525879
CREPE CITY 江坂店,江坂駅 126m,クレープ・ガレット,,3.04,4,23,-,-,大阪府吹田市豊津町10-7,34.759228,135.495987
まんぷく,江坂駅 770m,焼肉,,3.6,161,13040,"￥6,000～￥7,999",-,大阪府吹田市南金田2-26-10,34.753082,135.502762
焼肉 倉屋,南千里駅 194m,焼肉、ホルモン,,3.2,52,546,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市津雲台1-1-30 ガーデンモール南千里,34.79488,135.510178
モスバーガー ららぽーとEXPOCITY店,万博記念公園駅 557m,ハンバーガー,,3.05,29,136,-,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
SANK,江坂駅 498m,バー、カフェ,,3.04,3,142,-,-,大阪府吹田市江坂町2-6-14 池上第2ビル 1F,34.762074,135.493454
セブンイレブン 7FS大阪大学千里門店,北千里駅 873m,コンビニ・スーパー,,3.02,2,7,-,-,大阪府吹田市山田丘3-1 微生物病研究所 南館 1F,34.825222,135.519928
Lapin,吹田（阪急）駅 483m,イタリアン,,3.16,34,607,-,"￥1,000～￥1,999",大阪府吹田市穂波町3-7,34.756676,135.513565
中華そば よしたか,吹田（ＪＲ）駅 489m,ラーメン,,3.04,8,138,-,-,大阪府吹田市片山町4-2-12,34.767441,135.525009
じゅじゅ庵 関大前店,関大前駅 265m,焼肉,,3.01,4,77,"￥2,000～￥2,999",-,大阪府吹田市千里山東1-7-31 アペックスシティーV 3F,34.773434,135.506927
LAWSON 済生会千里病院店,南千里駅 269m,コンビニ・スーパー,,3,2,6,-,-,大阪府吹田市津雲台1-1-6,34.79488,135.510178
コメダ珈琲店 江坂駅前店,江坂駅 76m,喫茶店,,3.09,63,371,～￥999,"￥1,000～￥1,999",大阪府吹田市豊津町9-15 日本興業ビル 1F,34.758469,135.49678
久世福商店 エキスポシティ店,万博記念公園駅 564m,その他,,3.06,26,204,-,-,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 10730 Iゾーン,34.805485,135.53392
ほっかほっか亭 江坂豊津,江坂駅 366m,弁当,,3.01,2,15,-,-,大阪府吹田市豊津町1-50,34.761856,135.496368
仕出し割烹 しげよし 吹田片山店,吹田（ＪＲ）駅 442m,弁当,,,7,,-,-,大阪府吹田市片山町3-34-17,34.767166,135.52417
コバラスイタ 1号機　下り線,吹田市,たこ焼き、焼きそば、揚げ物,,3.05,11,23,-,～￥999,大阪府吹田市岸部北4-7-1 吹田サービスエリア(下り線),34.782223,135.526596
アゲアゲKING,吹田（阪急）駅 793m,韓国料理,,3,1,30,-,-,大阪府吹田市南金田1-1-2,34.757061,135.509354
烏,江坂駅 422m,郷土料理、居酒屋,,3.07,12,321,-,～￥999,大阪府吹田市豊津町5-17,34.76104,135.493378
ドンブリ アサダ,江坂駅 502m,丼、ラーメン,,3.31,78,3148,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町17-24,34.75816,135.491562
