店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
カマカ,蛍池駅 101m,お好み焼き、焼きそば,,3.02,2,195,"￥2,000～￥2,999",-,大阪府豊中市蛍池中町3-9-22,34.793888,135.448349
カンダヌードル,曽根駅 171m,ラーメン、つけ麺,,3.3,76,927,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市曽根東3-5-3,34.772797,135.468811
ロッソ 豊中ロマンチック街道店,少路（大阪モノレール）駅 420m,イタリアン、ピザ、パスタ,"自慢の""薪窯""で焼き上げるピッツァ♪本格イタリア料理とおかわり自由の焼き立てパンをどうぞ☆",3.45,263,6139,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市桜の町6丁目18-30,34.803791,135.470795
立呑み処 はちはち,服部天神駅 175m,立ち飲み、餃子、おでん,,3.02,3,76,-,-,大阪府豊中市服部豊町1-2-12,34.764099,135.473816
昭,石橋阪大前駅 624m,居酒屋,,3.06,5,22,-,-,大阪府豊中市清風荘1-16-5,34.802814,135.448166
風流お好み処 末廣,曽根駅 149m,お好み焼き,,,3,39,-,-,大阪府豊中市曽根西町3-5-2,34.772606,135.466171
無印良品 イオンSENRITO店,千里中央駅 119m,その他,,3,1,9,～￥999,～￥999,大阪府豊中市新千里東町1-1-3 イオンSENRITO専門館 2F,34.808811,135.494156
岳獅,豊中市,日本料理,,3.11,18,567,"￥4,000～￥4,999",-,大阪府豊中市熊野町4-11-5,34.792347,135.479218
御そば処 美松 千里店,千里中央駅 321m,そば、うどん、天丼,,3.09,35,473,-,～￥999,大阪府豊中市新千里東町1-3-21 せんちゅうパルB1F,34.808842,135.494934
コープこうべ コープ東豊中,少路（大阪モノレール）駅 950m,その他,,,1,4,～￥999,～￥999,大阪府豊中市東豊中町4-3-13,34.797512,135.481491
パティスリー・リスボン 東豊中店,豊中市,ケーキ,,3.15,25,359,-,-,大阪府豊中市東豊中町6-15-45,34.794342,135.483673
セブンイレブン モノウェル千里中央店,千里中央駅 34m,コンビニ・スーパー,,3,3,17,-,-,大阪府豊中市新千里東町1-5-4,34.808746,135.49588
桜塚四丁目,豊中駅 915m,喫茶店,,3.04,4,129,-,-,大阪府豊中市北桜塚4-5-38,34.785992,135.470612
俺の麺,庄内駅 158m,食堂,,3.01,2,28,-,-,大阪府豊中市庄内東町2-2-12,34.749065,135.47583
佐藤の浪漫,庄内駅 149m,立ち飲み、からあげ、ホルモン,,3.06,4,204,"￥1,000～￥1,999",-,大阪府豊中市庄内西町3-2-15,34.748791,135.474533
SACHIKO-KANAMORI パイ菓子研究所,庄内駅 514m,洋菓子,,,2,68,-,-,大阪府豊中市豊南町西2-10-14,34.749546,135.48053
だし福,千里中央駅 214m,日本料理、麺類,,3.31,46,370,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-149 せんちゅうパル B1F,34.808842,135.494934
停車場珈琲館,庄内駅 180m,喫茶店,,3.02,1,15,-,～￥999,大阪府豊中市庄内西町3-3-3,34.74884,135.473923
紫野,少路（大阪モノレール）駅 920m,串揚げ,,3.09,17,659,"￥5,000～￥5,999",-,大阪府豊中市上野東3-5-39,34.796509,135.475266
ファミリーマート 豊中小曽根店,豊中市,コンビニ・スーパー,,3.02,1,1,-,-,大阪府豊中市小曽根4-3-1,34.756245,135.483643
靖,蛍池駅 465m,喫茶店,,,8,,-,-,大阪府豊中市螢池北町1-8-1,34.798473,135.44696
パティスリー ラ フェット 桃山台店,桃山台駅 575m,ケーキ、洋菓子,,3.29,43,831,-,-,大阪府豊中市新千里南町3-1-13 マンションニュー千里 106,34.795811,135.492798
ばんばそば,服部天神駅 98m,そば,,3.17,20,764,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市服部豊町1-6-16 1F,34.764549,135.47464
酒とイタリアン SOJO,蛍池駅 124m,イタリアン,,3.12,19,737,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市蛍池中町2-3-1 ルシオーレ B棟 1F,34.793552,135.44931
串かつ麿,服部天神駅 256m,串揚げ,,,1,7,-,-,大阪府豊中市服部南町1-7-26,34.761265,135.476379
かつアンドかつ 二ノ切公園店,桃山台駅 758m,とんかつ,,3.13,83,600,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市東豊中町5-36-20,34.794254,135.488998
パン de Rainbow,岡町駅 498m,パン,,,1,4,-,-,大阪府豊中市中桜塚3-2-1 1F,34.7822,135.469284
とりのねぐら 阪急服部駅前店,服部天神駅 66m,居酒屋、鳥料理,,3.05,5,104,-,-,大阪府豊中市服部元町1-9-19 更科ビル　１Ｆ,34.764099,135.475891
LAWSON 東豊中町二丁目店,少路（大阪モノレール）駅 887m,コンビニ・スーパー,,3.02,1,10,-,-,大阪府豊中市東豊中町2-7-4,34.805305,135.485352
日本茶カフェ&ショップ 茶ら咲,服部天神駅 218m,カフェ,,3.05,6,108,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部南町1-5-4 サザンハイツ 1F,34.761288,135.475479
寿司上野坂,少路（大阪モノレール）駅 651m,寿司、日本料理,,3.6,131,10056,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東3-10-35,34.798321,135.476379
バルカフェ Massa,大阪空港駅 99m,バル、カフェ,,3.34,175,1003,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 伊丹空港 1F,34.787849,135.444946
WineBar Fontaine,緑地公園駅 262m,ワインバー,,3.02,1,13,"￥3,000～￥3,999",-,大阪府豊中市寺内2-3-9 グリーンエクセル 506,34.776958,135.495239
akkord,緑地公園駅 265m,洋菓子、カフェ,,3.3,30,1842,-,"￥1,000～￥1,999",大阪府豊中市寺内2-3-9 グリーンエクセル 1F,34.776958,135.495239
惣菜と菓子の持ち帰り専門店 六禾,岡町駅 647m,弁当、洋菓子,,3.21,12,651,-,-,大阪府豊中市中桜塚3-13-12,34.779297,135.471558
アンリ・シャルパンティエ 千里阪急店,千里中央駅 257m,ケーキ,,3.04,22,160,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
炭火焙煎珈琲 きりん珈琲 豊中店,豊中駅 70m,喫茶店,,3.11,24,575,-,～￥999,大阪府豊中市玉井町1-2-15,34.787346,135.460846
らーめん 風光る,豊中駅 66m,ラーメン、油そば・まぜそば,,3.37,63,555,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市玉井町1-1-1 エトレとよなか 4F,34.787334,135.461502
ポレポレ,曽根駅 133m,バー、カフェ,,3.04,5,73,-,～￥999,大阪府豊中市曽根東町3-4-3,34.771191,135.468887
焼き鳥のヒナタ 阪急服部天神駅前店,服部天神駅 60m,焼き鳥、居酒屋、弁当,,3.26,47,537,"￥3,000～￥3,999",～￥999,大阪府豊中市服部元町1-6-5,34.763618,135.476028
鳥貴族 庄内店,庄内駅 98m,焼き鳥、鳥料理、居酒屋,,3.01,8,106,"￥2,000～￥2,999",-,大阪府豊中市庄内西町2-22-15,34.74934,135.474716
喫茶　幸,服部天神駅 262m,喫茶店,,,9,,-,-,大阪府豊中市服部西町2-3-1,34.763519,135.472321
キャメルクラッチ,庄内駅 128m,ラーメン,,3.08,17,185,-,"￥1,000～￥1,999",大阪府豊中市庄内東町4-2-23 2F,34.749844,135.476776
嘘つき彼氏,曽根駅 401m,ラーメン,,3.38,53,5117,-,"￥1,000～￥1,999",大阪府豊中市曽根東町5-9-26 喫茶初恋,34.76939,135.470963
ミスタードーナツ 阪急曽根ショップ,曽根駅 131m,カフェ、ドーナツ,,3.04,28,111,～￥999,-,大阪府豊中市曽根東町3-1-1,34.770866,135.467712
喜八洲総本舗 千里中央店,千里中央駅 115m,和菓子,,3.03,14,220,-,-,大阪府豊中市新千里東町1-1-3 1F,34.808811,135.494156
魚まち,豊中駅 674m,その他,,,1,37,-,"￥1,000～￥1,999",大阪府豊中市本町7-7-15,34.791054,135.467194
お出汁の薫る家庭料理 あきゑ,豊中駅 979m,居酒屋,,3.03,6,150,-,-,大阪府豊中市上野西2-2-30,34.793076,135.470078
伊丹空街,大阪空港駅 121m,その他,,3.04,9,52,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 南 3F,34.787849,135.444946
ガラム,蛍池駅 66m,カレー,,3.29,66,749,～￥999,-,大阪府豊中市螢池中町2-3-1 ルシオーレ 3F,34.793552,135.44931
中国料理天座,服部天神駅 143m,中華料理、中華粥,,3.3,45,906,"￥1,000～￥1,999",～￥999,大阪府豊中市服部本町1-7-7,34.764118,135.476913
牛旬三郎 曽根店,曽根駅 97m,焼肉,,3.04,5,210,"￥4,000～￥4,999",-,大阪府豊中市曽根西町3-1-6,34.772289,135.466888
たこ焼き ひさご,庄内駅 108m,たこ焼き,,3,4,40,-,-,大阪府豊中市庄内東町2-1-7,34.749413,135.475693
ポルタブル,豊中駅 537m,イタリアン,,3.16,21,1091,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市本町6-1-1 ヒルズワンビル 203,34.790089,135.467148
一蓮家 豊中店,豊中市,ラーメン,,3.06,23,133,"￥1,000～￥1,999",～￥999,大阪府豊中市熊野町2-9-58,34.788864,135.485458
やどりぎ,少路（大阪モノレール）駅 686m,居酒屋,,3.04,4,119,-,-,大阪府豊中市上野東3-17-30,34.797981,135.472672
クックランド,豊中市,弁当、惣菜・デリ,,3.04,2,22,-,-,大阪府豊中市庄内宝町2-4-10,34.743343,135.462463
よしもとエンタメショップ 大阪空港店,大阪空港駅 140m,その他,,3.01,4,19,-,-,大阪府豊中市蛍池西町3-555 北ターミナル 4F,34.787849,135.444946
カフェ&バー ヒマワリ フクダヤ,庄内駅 22m,カフェ,,3,2,34,-,"￥1,000～￥1,999",大阪府豊中市庄内東町1-9-19,34.750496,135.475204
京料理 木村,豊中駅 216m,日本料理,,3.11,21,896,"￥10,000～￥14,999","￥3,000～￥3,999",大阪府豊中市本町1-13-17,34.788967,135.462753
宝屋,豊中市,うどん,,3.14,28,294,-,～￥999,大阪府豊中市庄内宝町1-9-10,34.747551,135.463379
バー スマイル,蛍池駅 129m,バー,,,1,,-,-,大阪府豊中市蛍池東町1-2-9,34.793304,135.450378
秀彬 せんちゅうＰＡＬ店,千里中央駅 321m,韓国料理,,3.3,63,881,"￥2,000～￥2,999",～￥999,大阪府豊中市新千里東町1-3-205,34.808842,135.494934
たこ湯,曽根駅 538m,たこ焼き、おでん,,3.08,16,236,～￥999,-,大阪府豊中市曽根東町6-7-15,34.768333,135.472076
MIOR 豊中,豊中駅 143m,カフェ、ケーキ,,3.19,35,678,-,～￥999,大阪府豊中市本町1丁目11-1 豊中本町ビル１０１号,34.788216,135.461884
かんらん,蛍池駅 205m,お好み焼き、おでん,,3.02,1,18,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-2-14 1F,34.796017,135.448898
クエルポ,蛍池駅 210m,ワインバー、バル,,3,1,167,"￥1,000～￥1,999",-,大阪府豊中市蛍池東町2-2-14 1F,34.796017,135.448898
梅八 千里中央店,千里中央駅 292m,とんかつ、日本料理、弁当,,3.38,116,1370,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-3-12 千里中央駅ビル,34.808842,135.494934
ぶーやんの店たこ焼・お好み焼,三国駅 879m,お好み焼き、たこ焼き,,,5,,～￥999,-,大阪府豊中市三和町3-8-2,34.74168,135.475113
喜八洲総本舗 伊丹空港店,大阪空港駅 149m,和菓子,,3.23,163,2237,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港ターミナルビル 北ターミナル 2F,34.787849,135.444946
サーティワンアイスクリーム 豊中内環ロードサイド店,豊中市,ジェラート・アイスクリーム,,3.04,22,77,-,-,大阪府豊中市服部寿町5-158-1,34.758774,135.464096
カルビープラス 伊丹空港店,大阪空港駅 107m,その他,,3.04,8,77,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナル 2F 搭乗待合エリア,34.787849,135.444946
ピザ カーサ イナバ,岡町駅 327m,ピザ,,3.04,5,158,-,-,大阪府豊中市岡町南2-5-1,34.776344,135.463058
KOHYO 豊中緑丘店,少路（大阪モノレール）駅 998m,コンビニ・スーパー,,3.01,2,4,-,-,大阪府豊中市緑丘4-1,34.812378,135.478683
松のや 服部店,豊中市,とんかつ,,3.04,44,149,～￥999,～￥999,大阪府豊中市服部西町5-18-2,34.761082,135.462769
本家かまどや 緑地公園駅前店,緑地公園駅 139m,弁当,,3,5,44,-,-,大阪府豊中市寺内2-2-22 シャトーエデン 1F,34.776505,135.494003
蛮酌,蛍池駅 392m,日本料理,,,70,,-,-,大阪府豊中市螢池東町3-3-45,34.798046,135.448471
敦煌 豊中店,豊中駅 90m,中華料理,,3.22,43,644,"￥3,000～￥3,999",～￥999,大阪府豊中市本町1-10-1 ボーゼム豊中第1ビル 5F,34.788055,135.461243
ホリーズ カフェ 豊中駅前店,豊中駅 146m,カフェ,,3.03,18,125,-,～￥999,大阪府豊中市本町1-11-1 豊中本町ビル 1F,34.788216,135.461884
リボン,服部天神駅 798m,喫茶店,,,13,,-,-,大阪府豊中市穂積1-7-1,34.757282,135.470734
GENE's kitchen,岡町駅 176m,弁当,,,8,,-,-,大阪府豊中市岡町2-3,34.7812,135.464798
焼鳥 だいご,千里中央駅 97m,焼き鳥,,3.14,14,526,"￥5,000～￥5,999",-,大阪府豊中市新千里東町1-3-11 せんちゅうパル 1F,34.808842,135.494934
バーガー屋SUN,柴原阪大前駅 711m,ハンバーガー,,3.05,4,54,-,～￥999,大阪府豊中市千里園3-15-15,34.795853,135.463974
えん,庄内駅 259m,うどん,,3.06,15,140,～￥999,～￥999,大阪府豊中市庄内西町3-16-7,34.748535,135.472931
Shot Bar N,豊中駅 214m,バー,,,21,,"￥1,000～￥1,999",-,大阪府豊中市本町3-14-7 ギャラクシー豊中本町ビル 3F,34.789608,135.46254
cafe inukshuk,千里中央駅 604m,カフェ、洋菓子、ケーキ,,3.04,3,180,-,-,大阪府豊中市上新田1-28 千里中央パークヒルズ L棟 1F,34.801456,135.494217
たる谷酒店,蛍池駅 73m,立ち飲み,,3.05,9,158,"￥1,000～￥1,999",-,大阪府豊中市螢池中町3-9-22,34.793888,135.448349
ふわこっぺ 豊中本町店,豊中駅 198m,パン,,3,8,61,-,-,大阪府豊中市本町3-1-52,34.788727,135.461182
RelisH,豊中駅 359m,カフェ,,3.02,1,60,-,-,大阪府豊中市岡上の町3-7-10,34.785854,135.464752
サクラグリル,南千里駅 950m,洋食、ハンバーグ,,3.6,117,9044,"￥2,000～￥2,999",-,大阪府豊中市上新田4-16-11 グランベール千里 1F,34.800365,135.503555
福十実弁当 服部店,服部天神駅 25m,弁当,,,2,14,-,-,大阪府豊中市服部元町1-7-5,34.763584,135.47551
炭火焼き鳥門屋,豊中駅 163m,ラーメン、焼き鳥、肉料理,,3.03,11,250,-,-,大阪府豊中市本町1-12-12 藤井ビル １Ｆ,34.788456,135.462692
ヘベレケ,庄内駅 208m,立ち飲み,,,1,16,-,-,大阪府豊中市庄内東町2-6-13,34.748421,135.475647
アジジ,曽根駅 59m,お好み焼き,,3.07,18,226,-,-,大阪府豊中市曽根西町3丁目1-2,34.772289,135.466888
鉄板焼・フレンチ・和洋会席 ボナージュ,千里中央駅 272m,ステーキ、フレンチ、鉄板焼き,,3.31,50,1225,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市新千里東町2-1 千里阪急ホテル東館 2F,34.808239,135.497833
移転タイ キック,豊中駅 292m,タイ料理、カレー,,3.37,96,2365,"￥3,000～￥3,999",～￥999,大阪府豊中市本町4-1-27,34.789551,135.464005
和食屋喜助,岡町駅 228m,日本料理,,3.02,2,106,-,-,大阪府豊中市岡町北3-2-12,34.781075,135.464081
BOSS,庄内駅 102m,カレー,,3.32,118,2589,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-1-23,34.749413,135.475693
コメダ珈琲店 千里中央店,千里中央駅 279m,喫茶店,,3.07,34,140,～￥999,"￥1,000～￥1,999",大阪府豊中市新千里東町1-3 せんちゅうパル 3F,34.808842,135.494934
焼酎楽膳だんだん,曽根駅 388m,居酒屋,,3.09,9,213,"￥4,000～￥4,999",-,大阪府豊中市南桜塚1-22-7,34.77375,135.471283
天ぷら 好日,豊中駅 277m,天ぷら,,3.54,18,845,"￥15,000～￥19,999",-,大阪府豊中市本町3-15-27 宮本マンション 1F,34.789787,135.463104
勇麻衣屋,岡町駅 889m,焼肉,,3.21,17,456,"￥6,000～￥7,999",-,大阪府豊中市南桜塚3-2-16,34.778656,135.473999
なりまつ,豊中市,寿司、天ぷら,,3.26,38,1607,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市上野東2-1-1 上野一番館 1F,34.794098,135.473618
アドットヌック,豊中駅 138m,カフェ、バー,,3.02,1,53,-,-,大阪府豊中市本町1-2-49,34.787102,135.462646
nannan cafe,桜井駅 893m,カフェ,,,1,,-,-,大阪府豊中市永楽荘3-1-13,34.814323,135.469604
備長炭 焼き鳥 こっこ屋,柴原阪大前駅 652m,焼き鳥,,3.06,7,169,-,-,大阪府豊中市桜の町1-3-21 シャンティー豊中　１Ｆ,34.796738,135.464432
無添くら寿司 豊中春日町店,牧落駅 994m,回転寿司,,3.05,28,125,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市春日町5-8-15,34.817162,135.473587
福寿堂,少路（大阪モノレール）駅 906m,和菓子,,3.08,10,159,-,-,大阪府豊中市春日町3-9-12,34.810863,135.470444
オズモンド,豊中市,喫茶店,,3.01,1,8,-,-,大阪府豊中市夕日丘1-1-1,34.785358,135.476822
喫茶ルポ,服部天神駅 662m,喫茶店,,3.02,1,10,-,-,大阪府豊中市浜1-24-4,34.763298,135.482391
マホット コーヒー,曽根駅 152m,カフェ,,3.06,15,612,-,～￥999,大阪府豊中市曽根西町2-14-43,34.770283,135.46521
Lei can ting 大阪国際空港店,大阪空港駅 107m,四川料理、担々麺、中華料理,,3.42,137,825,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池西町3-555 大阪国際空港 中央棟 3F 3C-1,34.787849,135.444946
KOJIBAR,豊中市,バル、ワインバー、イタリアン,,3.04,6,288,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市上野東2-2-47 B101,34.793472,135.4729
すき家 豊中浜店,庄内駅 875m,牛丼、カレー、食堂,,3.03,26,46,～￥999,-,大阪府豊中市浜4-3-7-2,34.754887,135.48262
鮮魚鮨処 かまや,蛍池駅 131m,寿司,,3.03,9,252,-,～￥999,大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F,34.793304,135.450378
広島焼きGOD,庄内駅 978m,お好み焼き、鉄板焼き,,3.02,7,252,-,-,大阪府豊中市庄内栄町4-22-8,34.746517,135.465363
クィーン,豊中市,喫茶店,,,4,,-,-,大阪府豊中市北条町4-1-15,34.764606,135.486618
服部一貫楼,服部天神駅 272m,中華料理、洋食,,3.11,20,580,"￥1,000～￥1,999",～￥999,大阪府豊中市服部元町2-6-1,34.766174,135.474167
錦寿し,蛍池駅 624m,寿司,,3.05,5,86,-,-,大阪府豊中市螢池南町3-2-4,34.788616,135.450256
服部天神bakery,服部天神駅 333m,サンドイッチ,,3.06,6,113,-,-,大阪府豊中市服部南町3-3-7,34.760456,135.475983
うどん屋 山善,服部天神駅 171m,うどん、うどんすき、丼,,3.55,297,7636,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部本町1-6-7,34.763508,135.47731
酒肴一会 ぽん,曽根駅 222m,日本料理,,3.04,3,103,-,-,大阪府豊中市曽根西町3-7-36 トランペットピル 1F,34.772659,135.464874
cafe 桜の庄兵衛+,岡町駅 369m,カフェ,,3.02,1,8,-,-,大阪府豊中市中桜塚2-30-35,34.778526,135.46936
よりみち酒場 まちあわせ,岡町駅 514m,居酒屋,,,5,,-,-,大阪府豊中市中桜塚2-31-13 1F,34.778507,135.470139
本格炭火焼鳥 楽笑,庄内駅 169m,焼き鳥,,3.05,4,39,-,-,大阪府豊中市庄内西町2-20-3,34.750507,135.47319
立呑処マキノ,曽根駅 362m,立ち飲み,,3,3,53,-,-,大阪府豊中市曽根南町2-1-6,34.768013,135.466019
サケ ショップ サトウ,岡町駅 632m,その他,,,2,5,-,-,大阪府豊中市岡町南3-5-10,34.776855,135.459137
洋食屋 CO..ZARA,豊中駅 249m,洋食、オムライス,,3.33,52,1810,-,～￥999,大阪府豊中市本町1-3-19,34.786175,135.463409
ユーハイム 阪急百貨店千里阪急店,千里中央駅 254m,洋菓子,,3.01,10,41,-,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
小麦の郷 ライフ三国橋店,三国駅 577m,パン、サンドイッチ,,3.01,5,17,-,-,大阪府豊中市日出町2-2-18,34.741467,135.479111
麺房 鶏くらふと,緑地公園駅 218m,ラーメン、つけ麺,,3.62,384,8989,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-27,34.776505,135.494003
BAKERIES LAB. 庄内店,庄内駅 199m,パン,,3,5,28,-,-,大阪府豊中市庄内東町4-13-22,34.748833,135.476425
Pau Hana,曽根駅 416m,カフェ,,3,2,38,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市曽根東町6-3-1,34.768322,135.470306
じゅんちゃん,岡町駅 374m,お好み焼き、焼きそば、鉄板焼き,,3.06,5,33,-,-,大阪府豊中市中桜塚2-25-12 ループトーワビル1F,34.779697,135.468475
肉うどんの丸十,蛍池駅 109m,うどん、おでん、カレーうどん,,3.44,130,2453,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池東町1-6-6,34.795189,135.449768
& コーヒー メゾンカイザー,大阪空港駅 107m,カフェ、パン,,3.19,136,749,～￥999,"￥1,000～￥1,999",大阪府豊中市蛍池西町3-555 大阪国際空港北ターミナル 2F,34.787849,135.444946
酒処 ひなた,服部天神駅 134m,居酒屋、馬肉料理、海鮮,,3.07,9,320,"￥3,000～￥3,999",-,大阪府豊中市服部元町1-3-2,34.762852,135.476593
島珈琲,岡町駅 225m,その他,,,1,42,-,-,大阪府豊中市岡町南1丁目5番47号,34.777641,135.463699
ハチ公大志,庄内駅 95m,お好み焼き,,,1,10,-,-,大阪府豊中市庄内東町2-1-23,34.749413,135.475693
ふみ,桜井駅 831m,喫茶店,,,3,,-,-,大阪府豊中市永楽荘2-1-13,34.812374,135.467697
土手嘉 岡町本店,岡町駅 120m,うどん、そば、寿司,,3.29,71,1748,-,～￥999,大阪府豊中市岡町8-16,34.780125,135.465744
鮨・淡路,柴原阪大前駅 411m,寿司,,3.07,9,214,"￥6,000～￥7,999",-,大阪府豊中市柴原町3-6-45,34.801311,135.462433
karaoke&dining たかちゃん,庄内駅 145m,居酒屋,,,,,-,-,大阪府豊中市庄内東町2-2-8 牧酒業ビル 2F,34.749065,135.47583
LAWSON 豊中立花町三丁目店,豊中駅 692m,コンビニ・スーパー,,3.04,2,2,-,-,大阪府豊中市立花町3-8-17,34.7827,135.45636
キムチの豊年 豊中店,庄内駅 579m,その他,,,135,,-,～￥999,大阪府豊中市豊南町西4-3-16 Abbie淀川 1F,34.748558,135.481018
大阪塩系 しおゑもん 豊中店,少路（大阪モノレール）駅 582m,ラーメン、つけ麺,,3.34,72,1257,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-13,34.79995,135.472
じゅらく,牧落駅 893m,パン、スイーツ,,3.09,20,685,-,-,大阪府豊中市永楽荘4-1-35,34.817158,135.471985
三太,豊中市,日本料理、ヨーロッパ料理,,,1,36,-,-,大阪府豊中市長興寺南4-2-1,34.775356,135.479095
アジアンレストラン8848,蛍池駅 402m,アジア・エスニック,,3,1,4,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市螢池西町1-26-3,34.795536,135.445267
やきとり大吉 服部元町店,服部天神駅 261m,焼き鳥,,,2,49,-,-,大阪府豊中市服部元町2-2-13,34.765762,135.475494
日本料理　翠徳亭,少路（大阪モノレール）駅 655m,日本料理,,3.19,27,561,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東3-18-1,34.79995,135.472
ピザハット 豊中西泉丘店,豊中市,ピザ,,3,4,11,-,-,大阪府豊中市西泉丘1-1-1,34.787498,135.48288
初酉,服部天神駅 101m,焼き鳥,,3.06,7,115,"￥2,000～￥2,999",-,大阪府豊中市服部豊町1-6-7,34.764549,135.47464
酒処赤ちょうちん,豊中駅 286m,焼き鳥、居酒屋、海鮮,,3.06,6,177,-,-,大阪府豊中市本町4-1-28,34.789551,135.464005
いなごや酒店,千里中央駅 966m,その他,,3.04,2,112,-,-,大阪府豊中市新千里東町3-3-120-103,34.815559,135.502808
黒船 伊丹空港店,大阪空港駅 140m,和菓子、スイーツ,,3.03,19,96,-,-,大阪府豊中市蛍池西町3-555,34.787849,135.444946
とりかわ権兵衛 豊中店,庄内駅 634m,もつ鍋,,3.08,17,662,"￥3,000～￥3,999",-,大阪府豊中市庄内幸町3-7-25,34.748444,135.468384
都そば 岡町駅前店,岡町駅 23m,そば、うどん,,3.07,23,105,-,～￥999,大阪府豊中市中桜塚1-2-36,34.779503,135.46579
肉魚地酒 やすおか,服部天神駅 221m,海鮮、牛料理、日本料理,,3.12,18,629,"￥5,000～￥5,999",-,大阪府豊中市服部南町1-5-6 クレセント南町 1F,34.761288,135.475479
ごはんとお菓子 none,岡町駅 257m,オーガニック、カフェ,,3.23,23,999,-,"￥1,000～￥1,999",大阪府豊中市中桜塚2-2-1,34.780151,135.467438
博多ラーメン げんこつ 豊中南店,豊中市,ラーメン、つけ麺、餃子,,3.05,69,355,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部西町5-17-24,34.762238,135.461838
たこ焼き 元,曽根駅 55m,たこ焼き,,3.01,1,31,-,-,大阪府豊中市曽根西町3-1-1,34.772289,135.466888
崖っぷちカレー万福屋,石橋阪大前駅 268m,カレー,,3.03,2,95,-,～￥999,大阪府豊中市待兼山町21-8,34.806698,135.448334
Resto,岡町駅 477m,カフェ,,3.02,2,46,-,-,大阪府豊中市中桜塚3-10-2 東洋ビル 102,34.780216,135.47023
grandma,柴原阪大前駅 668m,居酒屋、食堂,,,1,3,-,-,大阪府豊中市宮山町1-1-45,34.804352,135.463821
家族亭 千里中央店,千里中央駅 91m,そば、うどん、食堂,,3.05,31,250,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-5-3,34.808746,135.49588
カンティプル,庄内駅 737m,インド料理、ネパール料理,,,1,,-,-,大阪府豊中市豊南町西3-13-10,34.751328,135.482574
セブンイレブン 豊中上新田4丁目店,千里中央駅 750m,コンビニ・スーパー,,,1,2,-,-,大阪府豊中市上新田4-5-5,34.803204,135.501831
牛でん 豊中店,豊中市,焼肉、牛タン、ホルモン,,3,9,136,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府豊中市名神口1-2-7,34.757355,135.464005
無添くら寿司 豊中豊南町店,庄内駅 823m,回転寿司,,3.05,35,155,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市豊南町西3-1-13,34.753792,135.482666
柴藤,岡町駅 345m,弁当,,3.05,3,23,-,-,大阪府豊中市岡上の町1-3-12,34.7827,135.464844
重寿司,豊中市,寿司,,3.07,13,598,"￥10,000～￥14,999",-,大阪府豊中市東豊中町6-1-21,34.7948,135.478546
B-CLUB,岡町駅 144m,喫茶店,,3.05,3,20,-,-,大阪府豊中市岡町9-2,34.780766,135.46608
薔薇園,豊中駅 847m,喫茶店,,,,,～￥999,～￥999,大阪府豊中市本町8-3-57,34.791851,135.468262
