店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
ニュータージマハルエベレスト,三国駅 384m,インド料理、ネパール料理、インドカレー,,,2,3,-,-,大阪府豊中市三国1-11-5,34.740307,135.481781
諸國屋 伊丹空港店,大阪空港駅 137m,その他,,3.04,15,65,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 北ターミナル 2F,34.787849,135.444946
謙信,豊中駅 184m,ラーメン、餃子,,3.52,343,8092,"￥1,000～￥1,999",～￥999,大阪府豊中市本町1-7-1 蝶六ビル 1F,34.787922,135.463974
ビュー ドｳ パリ,蛍池駅 342m,ケーキ、カフェ,,3.1,15,227,～￥999,～￥999,大阪府豊中市蛍池北町1-2-4,34.796997,135.447189
マリブ,服部天神駅 69m,焼き鳥、鳥料理、串焼き,,3.03,7,105,-,-,大阪府豊中市服部豊町1-6-1,34.764549,135.47464
Tsurumi Confect,服部天神駅 311m,ケーキ,,3.09,16,166,～￥999,-,大阪府豊中市服部南町2-3-1,34.762878,135.478775
とんから亭 豊中南店,庄内駅 748m,とんかつ,,3.04,21,159,-,"￥1,000～￥1,999",大阪府豊中市豊南町東3-1-12,34.750298,135.483597
寿し豊,庄内駅 35m,寿司,,3.09,23,384,"￥3,000～￥3,999",～￥999,大阪府豊中市庄内東町1-9-21,34.750496,135.475204
ショットバー・リー,服部天神駅 656m,バー,,3.07,11,277,-,-,大阪府豊中市服部豊町2-20-12,34.764282,135.468246
今夜もアイス 豊中岡町店,岡町駅 29m,ジェラート・アイスクリーム,,3.01,3,14,-,-,大阪府豊中市中桜塚1-2-38,34.779503,135.46579
ギュルリーシュシュ,少路（大阪モノレール）駅 592m,カフェ,,,21,,-,-,大阪府豊中市上野坂1-4-10,34.799084,135.476883
京都 はち助,庄内駅 291m,お好み焼き、たい焼き・大判焼き,,3.03,14,70,-,～￥999,大阪府豊中市庄内西町3-19-14,34.749226,135.472519
肉工房 千里屋 千里中央店,千里中央駅 159m,その他,,3.04,9,129,-,-,大阪府豊中市新千里東町1-3 せんちゅうパル 1F,34.808842,135.494934
太一寿司,庄内駅 759m,寿司,,,1,15,-,-,大阪府豊中市庄内栄町3-23-3,34.74707,135.466644
中西怪奇菓子工房。,大阪空港駅 3m,洋菓子,,3,3,72,-,-,大阪府豊中市蛍池3-569-3 モノレール大阪空港駅,34.792557,135.445862
cafe blue,豊中駅 607m,カフェ,,3,1,85,-,～￥999,大阪府豊中市本町5-13-46,34.787739,135.46843
LIFE 豊中店,豊中駅 496m,コンビニ・スーパー,,,1,2,-,-,大阪府豊中市本町5-2-7,34.789646,135.466019
ドロップイン,柴原阪大前駅 814m,バル、パスタ、バー,,3.03,4,112,"￥1,000～￥1,999",-,大阪府豊中市春日町1-1-5,34.805859,135.464722
獅子道らーめん,豊中駅 290m,ラーメン,,3.19,75,825,～￥999,"￥1,000～￥1,999",大阪府豊中市本町1-4-9,34.786457,135.46402
千鳥屋 曽根店,曽根駅 157m,和菓子,,3.06,4,18,-,-,大阪府豊中市曽根東町1-10-3,34.772156,135.469482
宇治豊香園,庄内駅 62m,その他,,,1,3,-,-,大阪府豊中市庄内東町1-7-19 豊南市場内,34.750347,135.47583
中華料理菊水,服部天神駅 850m,中華料理,,3.18,30,1013,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市北条町2-9-12,34.767342,135.483749
お好み・鉄板焼き ふく,豊中駅 37m,お好み焼き、鉄板焼き、居酒屋,【豊中駅直結】ふわふわ食感の“関西お好み焼き”を、昼夜問わず気軽に満喫♪テイクアウトOK◎,3.07,8,86,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市玉井町1-1-1 エトレ豊中 4F,34.787334,135.461502
ホノルルアサイー 豊中店,岡町駅 30m,ジェラート・アイスクリーム,,3.06,5,81,～￥999,～￥999,大阪府豊中市中桜塚1-2-38,34.779503,135.46579
サンドイッチショップ サカワキ,豊中市,サンドイッチ,,3.05,3,59,-,-,大阪府豊中市夕日丘1-1-7,34.785358,135.476822
チャイナチューボー 千里阪急店,千里中央駅 292m,弁当,,3,4,18,-,-,大阪府豊中市新千里東町1-5-1 阪急阪神百貨店 B1F,34.808746,135.49588
生パスタの店 フェリーチェ,岡町駅 94m,パスタ,,3.07,17,509,-,"￥1,000～￥1,999",大阪府豊中市岡町南1-1-22,34.778511,135.464661
串かつ市場 緑地公園店,緑地公園駅 62m,串揚げ、居酒屋、もつ鍋,,3.07,24,940,"￥2,000～￥2,999",～￥999,大阪府豊中市寺内2-13-1 1F,34.773201,135.49472
サンドッグイン神戸屋 緑地公園駅店,緑地公園駅 59m,パン、カフェ,,3.18,27,443,-,～￥999,大阪府豊中市寺内2-4-1 緑地駅ビル 1F,34.775951,135.494934
ラーメンゆれる,石橋阪大前駅 251m,ラーメン、油そば・まぜそば,,3.42,81,1767,-,～￥999,大阪府豊中市待兼山町21-3,34.806698,135.448334
コーヒーハウスパパゲーノ,岡町駅 375m,喫茶店,,,5,,-,-,大阪府豊中市中桜塚2-25-12,34.779697,135.468475
TERRA COFFEE ROASTERS 新千里東店,千里中央駅 962m,カフェ,,3.04,6,354,-,-,大阪府豊中市新千里東町3-3-120 パークホームズ千里中央ザレジデンス 1F,34.815559,135.502808
ワインスタンド しゃぶちん,千里中央駅 360m,ワインバー,,3.43,55,898,"￥3,000～￥3,999",-,大阪府豊中市新千里東町1-3-149 せんちゅうパル B1F,34.808842,135.494934
スギドラッグ 庄内東店,庄内駅 71m,その他,,,,,-,-,大阪府豊中市庄内東町1-7-19,34.750347,135.47583
菊,服部天神駅 327m,喫茶店,,,4,,-,-,大阪府豊中市服部本町1-5-27,34.76355,135.478653
津の国屋　ボンクリス,柴原阪大前駅 569m,和菓子、ケーキ,,3.08,12,137,-,-,大阪府豊中市柴原町3丁目11-10,34.803669,135.462936
クレープモンキー 豊中庄内幸町店,庄内駅 732m,クレープ・ガレット,,,10,,-,-,大阪府豊中市庄内幸町4-23-10 イズスホワイトビル 1F,34.746449,135.46843
細うどん 黒門さかえ,豊中市,うどん、カレーうどん,,3.37,78,4156,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上新田4-16-2,34.800365,135.503555
洋膳花水木,豊中市,フレンチ,,3.05,8,198,-,-,大阪府豊中市栗ヶ丘町9-31,34.78817,135.473099
ダイヤモンド・プレミアラウンジ 大阪国際(伊丹)空港,大阪空港駅 171m,その他,,3.17,97,284,～￥999,-,大阪府豊中市蛍池西町3-555 大阪国際空港 ターミナルビル 3F,34.787849,135.444946
ヴィジェイジャムナ,蛍池駅 79m,インド料理,,3.1,26,403,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市螢池東町1-6 -2,34.795189,135.449768
そば太鼓亭 豊中北緑丘店,箕面船場阪大前駅 918m,そば,,3.06,27,126,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市北緑丘2-8-6,34.817356,135.481918
Nepali Kitchen Grish Curry House,服部天神駅 934m,インドカレー、インド料理、ネパール料理,,,3,,-,-,大阪府豊中市小曽根1-3-1,34.763805,135.485428
ムッシュ マキノ 向丘本店,少路（大阪モノレール）駅 631m,ケーキ,,3.5,190,4132,-,-,大阪府豊中市向丘2-10-20,34.809994,135.472916
銀仙,千里中央駅 233m,寿司,,,9,,-,-,大阪府豊中市新千里東町2-1 千里阪急ホテル 東館 2F,34.808239,135.497833
天丼専門店 てんき 庄内駅前店,庄内駅 116m,天丼,,3.26,57,622,～￥999,～￥999,大阪府豊中市庄内東町2-2-1,34.749065,135.47583
なか卯 豊中少路店,少路（大阪モノレール）駅 279m,牛丼、親子丼、うどん,,3.03,29,127,～￥999,-,大阪府豊中市少路1-460-1,34.804245,135.473846
浪芳庵 大阪国際空港(伊丹空港)店,大阪空港駅 171m,和菓子、どら焼き,,3.2,73,2297,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 南ターミナルビル 2F,34.787849,135.444946
みつか坊主,蛍池駅 96m,ラーメン、つけ麺,,3.46,144,4661,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池東町1-6-5 空港センタービル 2F,34.795189,135.449768
カレーハウス CoCo壱番屋 豊中インター店,豊中市,カレー,,3.03,23,77,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内宝町2-6-40,34.744537,135.463715
京屋 小曽根店,服部天神駅 815m,和菓子,,3,2,25,-,-,大阪府豊中市小曽根1-10-43,34.76252,135.483978
CADENCE,岡町駅 426m,ハンバーガー,,3.31,34,1056,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市岡町北3-6-16 西岡町マンション 1F,34.78186,135.461319
81CURRY,服部天神駅 265m,カレー,,3.03,2,71,-,-,大阪府豊中市服部南町1-5-11,34.761288,135.475479
クックデリ御膳 服部元町店,服部天神駅 77m,惣菜・デリ,,3,1,2,-,-,大阪府豊中市服部元町1-9-18,34.764099,135.475891
二葉すし,蛍池駅 246m,寿司,,3.26,45,1067,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市螢池中町1-3-16,34.792526,135.450089
Bowl me,服部天神駅 724m,スイーツ,,,8,,-,-,大阪府豊中市服部豊町2-22-15,34.764225,135.467484
